form_name,packet,question,varname,missingness,conformity,response_labels
F2,CV,9c. How many times have you been admitted to the hospital for COVID-19?,C19HOSPN,Conditional (e.g. skip pattern),"Integers 1-3, 9","1, Once |2, Twice|3, Three or more times|9, Unsure/unknown"
F2,CV,"9c1a. Date of most recent hospitalization:
month",C19H1MO,Conditional (e.g. skip pattern),"Integers 1-12, 88, 99",
F2,CV,"9c1b. Date of most recent hospitalization:
year",C19H1YR,Conditional (e.g. skip pattern),"2019 to current year, 8888, 9999",
F2,CV,"9c2. How many days were you
hospitalized?",C19H1DYS,Conditional (e.g. skip pattern),"Integers 1-887, 888, 999",
F2,CV,"9c3a. Date of next most recent
hospitalization: month",C19H2MO,Conditional (e.g. skip pattern),"Integers 1-12, 88, 99",
F2,CV,"9c3b. Date of next most recent
hospitalization: year",C19H2YR,Conditional (e.g. skip pattern),"2020 to current year, 8888, 9999",
F2,CV,"9c4. How many days were you
hospitalized?",C19H2DYS,Conditional (e.g. skip pattern),"Integers 1-887, 888, 999",
F2,CV,"9c5a. Date of next most recent
hospitalization: month",C19H3MO,Conditional (e.g. skip pattern),"Integers 1-12, 88, 99",
F2,CV,"9c5b. Date of next most recent
hospitalization: year",C19H3YR,Conditional (e.g. skip pattern),"2019 to current year, 8888, 9999",
F2,CV,"9c6. How many days were you
hospitalized?",C19H3DYS,Conditional (e.g. skip pattern),"Integers 1-887, 888,999",
F2,CV,10. Have you received at least one vaccination against COVID-19?,C19VAC,Always,"Integers 0, 1, 8, 9","0, No|1, Yes|8, Decline to answer|9, Unsure/unknown"
F2,CV,10a. Why have you not received a COVID-19 vaccination?,C19UNVAC,Conditional (e.g. skip pattern),"Integers 1-5, 8, 9","1, Wanted to but unable|2, Did not want to get vaccinated|3,Allergy|4,Medical contraindication|5,Other|8, Decline to answer|9, Unsure/unknown"
F2,CV,10a1. Medical contraindication specify,C19UNVACMX,Conditional (e.g. skip pattern),text,
F2,CV,10a2. Other specify,C19UNVACOX,Conditional (e.g. skip pattern),text,
F2,CV,10b. How many COVID-19 vaccine doses have you received?,C19NVAC,Conditional (e.g. skip pattern),Integers 1-9,"1, One: Partial vaccination (one dose of two-dose series)|2, One: One-dose series, e.g., Janssen (Johnson & Johnson) without booster|3, Two: Two-dose series without booster|4, Two: One-dose series with one booster|5, Three: Two-dose series with one booster|6, Three +: One-dose series with more than one booster|7, Four +: Two-dose series with more than one booster|8, Decline to answer|9, Unsure/unknown"
F2,CV,10c1a. When did you receive your first COVID-19 vaccination: month?,C19VAC1MO,Conditional (e.g. skip pattern),"Integers 1-12, 88, 99",
F2,CV,10c1b. When did you receive your first COVID-19 vaccination: year?,C19VAC1YR,Conditional (e.g. skip pattern),"2019 to current year, 8888, 9999",
F2,CV,10c2. Which COVID-19 vaccine did you first receive?,C19TVAC1,Conditional (e.g. skip pattern),"Integers 1-4, 8, 9","1, Pfizer|2, Moderna|3, Janssen (Johnson & Johnson)|4, Other (Specify)|8, Decline to answer|9, Unsure/unknown"
F2,CV,10c2a. Other specify,C19TVAC1OX,Conditional (e.g. skip pattern),text,
F2,CV,10c3. Did you experience any symptoms within 5 days of your first COVID-19 vaccination?,C19SVAC1,Conditional (e.g. skip pattern),"Integers 0, 1, 8, 9","0, No|1, Yes|8, Decline to answer|9, Unsure/unknown"
F2,CV,10c4a. Which of the following symptoms did you experience after your first vaccine: Sore arm,C19VAC1ARM,Conditional (e.g. skip pattern),"blank, 1",
F2,CV,10c4a1. Number of days sore arm lasted:,C19VAC1ADY,Conditional (e.g. skip pattern),"Integers 1-776, 777, 999",
F2,CV,"10c4b. Which of the following symptoms did you experience after your first vaccine: Flu-like feelings (fever, chills, tiredness, or “malaise”)",C19VAC1FLU,Conditional (e.g. skip pattern),"blank, 1",
F2,CV,10c4b1. Number of days flu-like feelings lasted,C19VAC1FDY,Conditional (e.g. skip pattern),"Integers 1-776, 777, 999",
F2,CV,"10c4c. Which of the following symptoms did you experience after your first vaccine: New problems with memory, thinking, or concentration",C19VAC1MEM,Conditional (e.g. skip pattern),"blank, 1",
F2,CV,"10c4c1. Number of days new problems with memory, thinking, or concentration lasted:",C19VAC1MDY,Conditional (e.g. skip pattern),"Integers 1-776, 777, 999",
F2,CV,10c4d. Which of the following symptoms did you experience after your first vaccine: Decline to answer,C19VAC1DEC,Conditional (e.g. skip pattern),"blank, 1",
F2,CV,10c4e. Which of the following symptoms did you experience after your first vaccine: Unknown,C19VAC1UNK,Conditional (e.g. skip pattern),"blank, 1",
F2,CV,10d1a. When did you receive your second COVID-19 vaccination: month?,C19VAC2MO,Conditional (e.g. skip pattern),"Integers 1-12, 88, 99",
F2,CV,10d1b. When did you receive your second COVID-19 vaccination: year?,C19VAC2YR,Conditional (e.g. skip pattern),"2019 to current year, 8888, 9999",
F2,CV,10d2. Which COVID-19 vaccine did you receive?,C19TVAC2,Conditional (e.g. skip pattern),"Integers 1-3, 8, 9","1, Pfizer|2, Moderna|3, Other (Specify)|8, Decline to answer|9, Unsure/unknown"
F2,CV,10d2a. Other specify,C19TVAC2OX,Conditional (e.g. skip pattern),text,
F2,CV,10d3. Did you experience any symptoms within 5 days of your second COVID-19 vaccination?,C19SVAC2,Conditional (e.g. skip pattern),"Integers 0, 1, 8, 9","0, No|1, Yes|8, Decline to answer|9, Unsure/unknown"
F2,CV,10d4a. Which of the following symptoms did you experience after your second vaccine: Sore arm,C19VAC2ARM,Conditional (e.g. skip pattern),"blank, 1 ",
F2,CV,10d4a1. Number of days sore arm lasted:,C19VAC2ADY,Conditional (e.g. skip pattern),"Integers 1-776, 777, 999",
F2,CV,"10d4b. Which of the following symptoms did you experience after your second vaccine: Flu-like feelings (fever, chills, tiredness, or “malaise”)",C19VAC2FLU,Conditional (e.g. skip pattern),"blank, 1",
F2,CV,10d4b1. Number of days flu-like feelings lasted,C19VAC2FDY,Conditional (e.g. skip pattern),"Integers 1-776, 777, 999",
F2,CV,"10d4c. Which of the following symptoms did you experience after your second vaccine: New problems with memory, thinking, or concentration",C19VAC2MEM,Conditional (e.g. skip pattern),"blank, 1",
F2,CV,"10d4c1. Number of days new problems with memory, thinking, or concentration lasted:",C19VAC2MDY,Conditional (e.g. skip pattern),"Integers 1-776, 777, 999",
F2,CV,10d4d. Which of the following symptoms did you experience after your second vaccine: Decline to answer,C19VAC2DEC,Conditional (e.g. skip pattern),"blank, 1",
F2,CV,10d4e. Which of the following symptoms did you experience after your second vaccine: Unknown,C19VAC2UNK,Conditional (e.g. skip pattern),"blank, 1",
F2,CV,10e1a. When did you receive your first COVID-19 booster vaccination: month?,C19BST1MO,Conditional (e.g. skip pattern),"Integers 1-12, 88, 99",
F2,CV,10e1b. When did you receive your first COVID-19 booster vaccination: year?,C19BST1YR,Conditional (e.g. skip pattern),"2019 to current year, 8888, 9999",
F2,CV,10e2. Which COVID-19 vaccine did you receive?,C19TBST1,Conditional (e.g. skip pattern),"Integers 1-3, 8, 9","1, Pfizer|2, Moderna|3, Other (Specify)|8, Decline to answer|9, Unsure/unknown"
F2,CV,10e2a. Other specify,C19TBST1OX,Conditional (e.g. skip pattern),text,
F2,CV,10e3. Did you experience any symptoms within 5 days of your first COVID-19 booster vaccination?,C19SBST1,Conditional (e.g. skip pattern),"Integers 0, 1, 8, 9","0, No|1, Yes|8, Decline to answer|9, Unsure/unknown"
F2,CV,10e4a. Which of the following symptoms did you experience after your first booster vaccination: Sore arm,C19BST1ARM,Conditional (e.g. skip pattern),"blank, 1",
F2,CV,10e4a1. Number of days sore arm lasted:,C19BST1ADY,Conditional (e.g. skip pattern),"Integers 1-776, 777, 999",
F2,CV,"10e4b. Which of the following symptoms did you experience after your first booster vaccination: Flu-like feelings (fever, chills, tiredness, or “malaise”)",C19BST1FLU,Conditional (e.g. skip pattern),"blank, 1",
F2,CV,10e4b1. Number of days flu-like feelings lasted,C19BST1FDY,Conditional (e.g. skip pattern),"Integers 1-776, 777, 999",
F2,CV,"10e4c. Which of the following symptoms did you experience after your first booster vaccination: New problems with memory, thinking, or concentration",C19BST1MEM,Conditional (e.g. skip pattern),"blank, 1",
F2,CV,"10e4c1. Number of days new problems with memory, thinking, or concentration lasted:",C19BST1MDY,Conditional (e.g. skip pattern),"Integers 1-776, 777, 999",
F2,CV,10e4c. Which of the following symptoms did you experience after your first booster vaccination: Decline to answer,C19BST1DEC,Conditional (e.g. skip pattern),"blank, 1",
F2,CV,10e4c1. Which of the following symptoms did you experience after your first booster vaccination: Unknown,C19BST1UNK,Conditional (e.g. skip pattern),"blank, 1",
F2,CV,10fa. When was your most recent COVID-19 vaccination/booster: month,C19BSTRMO,Conditional (e.g. skip pattern),"Integers 1-12, 88, 99",
F2,CV,10fb. When was your most recent COVID-19 vaccination/booster: year,C19BSTRYR,Conditional (e.g. skip pattern),"2020 to current year, 8888, 9999",
F2,CV,11. Do you need help in setting up a COVID vaccination for yourself?,C19VHELP,Always,"Integers 0, 1, 8, 9","0, No|1, Yes|8, Decline to answer|9, Unsure/unknown"
F2,CV,"12. On a scale of 1-5, how worried are you that you will get COVID-19 (or, if previously infected, worried that you will get it again)?",C19WORRY,Always,"Integers 1-5, 8","1, Not at all worried| 2, A little worried| 3, Somewhat worried|4, Very worried |5, Extremely worried|8, Decline to answer"
F2,CV,"13. On a scale of 1-5, how disruptive has the COVID-19 pandemic been to your everyday life?",C19DIS,Always,"Integers 1-5, 8","1, Not at all disruptive| 2, A little disruptive| 3, Somewhat disruptive|4, Very disruptive|5, Extremely disruptive|8, Decline to answer"
F2,CV,14. On a scale of 1-6 (with 1 being “I can shake off stress” and 6 being “Stress eats away at me”) how would you rate your ability to handle stress?,C19COPEST,Always,"Integers 1-6, 8",
F2,CV,"15. In the past year, on a scale of 1-6 with 1 being “no stress” and 6 being “extreme stress” how would you rate the amount of stress in your life (at home and at work)?",C19AMST,Always,"Integers 1-6, 8",
F2,CV,"16. On a scale of 1-5, how much has COVID-19 changed your willingness to participate in clinical research if it requires in-person visits to the research clinic?",C19PRE,Always,"Integers 1-5, 8","1, Not at all| 2, A little| 3, Somewhat |4, Very much|5, Extremely|8, Decline to answer"
