form_name,packet,question,varname,missingness,conformity,response_labels
F2,FCV,"7a2. When did you first experience changes in thinking, remembering, or concentration: year?",C19BRFBYR,Conditional (e.g. skip pattern),"2019 to current year, 8888, 9999",
F2,FCV,"7b. How long did it take to recover changes in thinking, remembering, or concentration?",C19BRFDUR,Conditional (e.g. skip pattern),"Integers 1-5, 8","1, < 1 week|2, 1-2 weeks |3, 2-4 weeks|4, >4 weeks |5, Not yet recovered (symptoms persist to the present) |8, Decline to answer"
F2,FCV,8. Did you ever seek medical care for COVID-19 since [last f2_form_date]?,C19MEDC_F,Conditional (e.g. skip pattern),"Integers 0, 1, 8, 9","0, No|1, Yes|8, Decline to answer|9, Unsure/unknown"
F2,FCV,"8a. Since [last f2_form_date], did you receive any type of outpatient treatment for your COVID-19 infection such as monoclonal antibody treatment, oral antiviral, subcutaneous injection of antiviral, or other treatment?",C19OPATR_F,Conditional (e.g. skip pattern),"Integers 0, 1, 8, 9","0, No|1, Yes|8, Decline to answer|9, Unsure/unknown"
F2,FCV,8a1a. When did you receive this outpatient treatment: month?,C19OPATRMO,Conditional (e.g. skip pattern),"Integers 1-12, 88, 99",
F2,FCV,8a1b. When did you receive this outpatient treatment: year?,C19OPATRYR,Conditional (e.g. skip pattern),"2019 to current year, 8888, 9999",
F2,FCV,"8b. Since [last f2_form_date], what was the highest level of medical care you received for COVID-19?",C19MEDCTYP_F,Conditional (e.g. skip pattern),"Integers 1-5, 8, 9","1,Phone consultation or virtual care visit|2, In-person physician or urgent care visit |3, Emergency department|4, Hospitalized but not the intensive care unit (ICU) |5, Hospitalized, including a stay in the ICU and/or ventilator support (breathing tube in your throat)|8, Decline to answer|9,Unsure/unknown"
F2,FCV,"8c. Since [last f2_form_date], how many times have you been admitted to the hospital for COVID-19?",C19HOSPN_F,Conditional (e.g. skip pattern),"Integers 1-3, 9","1, Once |2, Twice|3, Three or more times|9, Unsure/unknown"
F2,FCV,"8c1a. Date of most recent hospitalization:
month",C19H1MO,Conditional (e.g. skip pattern),"Integers 1-12, 88, 99",
F2,FCV,"8c1b. Date of most recent hospitalization:
year",C19H1YR,Conditional (e.g. skip pattern),"2019 to current year, 8888, 9999",
F2,FCV,"8c2. How many days were you
hospitalized?",C19H1DYS,Conditional (e.g. skip pattern),"Integers 1-887, 888, 999",
F2,FCV,"8c3a. Date of next most recent
hospitalization: month",C19H2MO,Conditional (e.g. skip pattern),"Integers 1-12, 88, 99",
F2,FCV,"8c3b. Date of next most recent
hospitalization: year",C19H2YR,Conditional (e.g. skip pattern),"2019 to current year, 8888, 9999",
F2,FCV,"8c4. How many days were you
hospitalized?",C19H2DYS,Conditional (e.g. skip pattern),"Integers 1-887, 888, 999",
F2,FCV,"8c5a. Date of next most recent
hospitalization: month",C19H3MO,Conditional (e.g. skip pattern),"Integers 1-12, 88, 99",
F2,FCV,"8c5b. Date of next most recent
hospitalization: year",C19H3YR,Conditional (e.g. skip pattern),"2019 to current year, 8888, 9999",
F2,FCV,"8c6. How many days were you
hospitalized?",C19H3DYS,Conditional (e.g. skip pattern),"Integers 1-887, 888, 999",
F2,FCV,9. Have you received at least one vaccination against COVID-19 since [last f2_form_date]?,C19VAC_F,Always,"Integers 0, 1, 8, 9","0, No|1, Yes|8, Decline to answer|9, Unsure/unknown"
F2,FCV,"9a. Since [last f2_form_date], how many COVID-19 vaccine doses have you received?",C19NVAC_F,Conditional (e.g. skip pattern),Integers 1-9,"1, One: Partial vaccination (one dose of two-dose series)|2, One: One-dose series, e.g., Janssen (Johnson & Johnson) without booster|3, Two: Two-dose series without booster|4, Two: One-dose series with one booster|5, Three: Two-dose series with one booster|6, Three +: One-dose series with more than one booster|7, Four +: Two-dose series with more than one booster|8, Decline to answer|9, Unsure/unknown"
F2,FCV,9ba. When did you receive your first COVID-19 vaccination since [last f2_form_date]: month?,C19VAC1MO_F,Conditional (e.g. skip pattern),"Integers 1-12, 88, 99",
F2,FCV,9bb. When did you receive your first COVID-19 vaccination since [last f2_form_date]: year?,C19VAC1YR_F,Conditional (e.g. skip pattern),"2019 to current year, 8888, 9999",
F2,FCV,9b1. Which COVID-19 vaccine did you first receive?,C19TVAC1,Conditional (e.g. skip pattern),"Integers 1-4, 8, 9","1, Pfizer|2, Moderna|3, Janssen (Johnson & Johnson)|4, Other (Specify)|8, Decline to answer|9, Unsure/unknown"
F2,FCV,9b1a. Other specify,C19TVAC1OX,Conditional (e.g. skip pattern),text,
F2,FCV,9b2. Did you experience any symptoms within 5 days of your first COVID-19 vaccination?,C19SVAC1,Conditional (e.g. skip pattern),"Integers 0, 1, 8, 9","0, No|1, Yes|8, Decline to answer|9, Unsure/unknown"
F2,FCV,9b3a. Which of the following symptoms did you experience after your first vaccine: Sore arm,C19VAC1ARM,Conditional (e.g. skip pattern),"blank, 1",
F2,FCV,9b3a1. Number of days sore arm lasted:,C19VAC1ADY,Conditional (e.g. skip pattern),"Integers 1-776, 777, 999",
F2,FCV,"9b3b. Which of the following symptoms did you experience after your first vaccine: Flu-like feelings (fever, chills, tiredness, or “malaise”)",C19VAC1FLU,Conditional (e.g. skip pattern),"blank, 1",
F2,FCV,9b3b1. Number of days flu-like feelings lasted,C19VAC1FDY,Conditional (e.g. skip pattern),"Integers 1-776, 777, 999",
F2,FCV,"9b3c. Which of the following symptoms did you experience after your first vaccine: New problems with memory, thinking, or concentration",C19VAC1MEM,Conditional (e.g. skip pattern),"blank, 1",
F2,FCV,"9b3c1. Number of days new problems with memory, thinking, or concentration lasted:",C19VAC1MDY,Conditional (e.g. skip pattern),"Integers 1-776, 777, 999",
F2,FCV,9b3d. Which of the following symptoms did you experience after your first vaccine: Decline to answer,C19VAC1DEC,Conditional (e.g. skip pattern),"blank, 1",
F2,FCV,9b3e. Which of the following symptoms did you experience after your first vaccine: Unknown,C19VAC1UNK,Conditional (e.g. skip pattern),"blank, 1",
F2,FCV,9ca. When did you receive your second COVID-19 vaccination since [last f2_form_date]: month?,C19VAC2MO_F,Conditional (e.g. skip pattern),"Integers 1-12, 99",
F2,FCV,9cb. When did you receive your second COVID-19 vaccination since [last f2_form_date]: year?,C19VAC2YR_F,Conditional (e.g. skip pattern),"2019 to current year, 9999",
F2,FCV,9c1. Which COVID-19 vaccine did you receive?,C19TVAC2,Conditional (e.g. skip pattern),"Integers 1-3, 8, 9","1, Pfizer|2, Moderna|3, Other (Specify)|8, Decline to answer|9, Unsure/unknown"
F2,FCV,9c1a. Other specify,C19TVAC2OX,Conditional (e.g. skip pattern),text,
F2,FCV,9c2. Did you experience any symptoms within 5 days of your second COVID-19 vaccination?,C19SVAC2,Conditional (e.g. skip pattern),"Integers 0, 1, 8, 9","0, No|1, Yes|8, Decline to answer|9, Unsure/unknown"
F2,FCV,9c3a. Which of the following symptoms did you experience after your second vaccine: Sore arm,C19VAC2ARM,Conditional (e.g. skip pattern),"blank, 1",
F2,FCV,9c3a1. Number of days sore arm lasted:,C19VAC2ADY,Conditional (e.g. skip pattern),"Integers 1-776, 777, 999",
F2,FCV,"9c3b. Which of the following symptoms did you experience after your second vaccine: Flu-like feelings (fever, chills, tiredness, or “malaise”)",C19VAC2FLU,Conditional (e.g. skip pattern),"blank, 1",
F2,FCV,9c3b1. Number of days flu-like feelings lasted,C19VAC2FDY,Conditional (e.g. skip pattern),"Integers 1-776, 777, 999",
F2,FCV,"9c3c. Which of the following symptoms did you experience after your second vaccine: New problems with memory, thinking, or concentration",C19VAC2MEM,Conditional (e.g. skip pattern),"blank, 1",
F2,FCV,"9c3c1. Number of days new problems with memory, thinking, or concentration lasted:",C19VAC2MDY,Conditional (e.g. skip pattern),"Integers 1-776, 777, 999",
F2,FCV,9c3d. Which of the following symptoms did you experience after your second vaccine: Decline to answer,C19VAC2DEC,Conditional (e.g. skip pattern),"blank, 1",
F2,FCV,9c3e. Which of the following symptoms did you experience after your second vaccine: Unknown,C19VAC2UNK,Conditional (e.g. skip pattern),"blank, 1",
F2,FCV,9da. When did you receive your first COVID-19 booster vaccination since [last f2_form_date]: month?,C19BST1MO_F,Conditional (e.g. skip pattern),"Integers 1-12, 99",
F2,FCV,9db. When did you receive your first COVID-19 booster vaccination since [last f2_form_date]: year?,C19BST1YR_F,Conditional (e.g. skip pattern),"2019 to current year, 9999",
F2,FCV,9d1. Which COVID-19 vaccine did you receive?,C19TBST1,Conditional (e.g. skip pattern),"Integers 1-3, 8, 9","1, Pfizer|2, Moderna|3, Other (Specify)|8, Decline to answer|9, Unsure/unknown"
F2,FCV,9d1a. Other specify,C19TBST1OX,Conditional (e.g. skip pattern),text,
F2,FCV,9d2. Did you experience any symptoms within 5 days of your first COVID-19 booster vaccination?,C19SBST1,Conditional (e.g. skip pattern),"Integers 0, 1, 8, 9","0, No|1, Yes|8, Decline to answer|9, Unsure/unknown"
F2,FCV,9d3a. Which of the following symptoms did you experience after your first booster vaccination: Sore arm,C19BST1ARM,Conditional (e.g. skip pattern),"blank, 1",
F2,FCV,9d3a1. Number of days sore arm lasted:,C19BST1ADY,Conditional (e.g. skip pattern),"Integers 1-776, 777, 999",
F2,FCV,"9d3b. Which of the following symptoms did you experience after your first booster vaccination: Flu-like feelings (fever, chills, tiredness, or “malaise”)",C19BST1FLU,Conditional (e.g. skip pattern),"blank, 1",
F2,FCV,9d3b1. Number of days flu-like feelings lasted,C19BST1FDY,Conditional (e.g. skip pattern),"Integers 1-776, 777, 999",
F2,FCV,"9d3c. Which of the following symptoms did you experience after your first booster vaccination: New problems with memory, thinking, or concentration",C19BST1MEM,Conditional (e.g. skip pattern),"blank, 1",
F2,FCV,"9d3c1. Number of days new problems with memory, thinking, or concentration lasted:",C19BST1MDY,Conditional (e.g. skip pattern),"Integers 1-776, 777, 999",
F2,FCV,9d3d. Which of the following symptoms did you experience after your first booster vaccination: Decline to answer,C19BST1DEC,Conditional (e.g. skip pattern),"blank, 1",
F2,FCV,9d3e. Which of the following symptoms did you experience after your first booster vaccination: Unknown,C19BST1UNK,Conditional (e.g. skip pattern),"blank, 1",
F3,FCV,90. When was your most recent COVID-19 vaccination/booster: month,C19BSTRMO,Conditional (e.g. skip pattern),"Integers 1-12, 99",
F4,FCV,900. When was your most recent COVID-19 vaccination/booster: year,C19BSTRYR,Conditional (e.g. skip pattern),"2019 to current year, 9999",
F5,FCV,"10. On a scale of 1-5, how worried are you that you will get COVID-19 (or, if previously infected, worried that you will get it again)?",C19WORRY,Always,"Integers 1-5, 8","1, Not at all worried| 2, A little worried| 3, Somewhat worried|4, Very worried |5, Extremely worried|8, Decline to answer"
F6,FCV,"11. On a scale of 1-5, since [last f2_form_date], how disruptive has the COVID-19 pandemic been to your everyday life?",C19DIS_F,Always,"Integers 1-5, 8","1, Not at all disruptive| 2, A little disruptive| 3, Somewhat disruptive|4, Very disruptive|5, Extremely disruptive|8, Decline to answer"
F7,FCV,12. On a scale of 1-6 (with 1 being “I can shake off stress” and 6 being “Stress eats away at me”) how would you rate your ability to handle stress?,C19COPEST,Always,"Integers 1-6, 8",
F8,FCV,"13. In the past year, on a scale of 1-6 with 1 being “no stress” and 6 being “extreme stress” how would you rate the amount of stress in your life (at home and at work)?",C19AMST,Always,"Integers 1-6, 8",
F9,FCV,"14. On a scale of 1-5, since [last f2_form_date], how much has COVID-19 changed your willingness to participate in clinical research if it requires in-person visits to the research clinic?",C19PRE_F,Always,"Integers 1-5, 8","1, Not at all| 2, A little| 3, Somewhat |4, Very much|5, Extremely|8, Decline to answer"
